id,name,site,category,city,cms,libraries,antibot,status,created_at
1,"Каталог застройщиков в Москве и МО - объекты, информация о застройщиках ...",https://cian.ru,застройщики,Москва,,"[""angular"", ""xmlhttprequest"", ""recaptcha""]",recaptcha,crawled,2026-05-27T07:56:45.337232+00:00
2,"ТОП застройщиков г.Москва, май 2026 | Список застройщиков | Каталог ...",https://erzrf.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.346891+00:00
3,Застройщики в Москве 2026: Рейтинг самых надежных компаний по ...,https://domclick.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.353800+00:00
4,Каталог застройщиков в Москве — полный список застройщиков в Москве на ...,https://m2.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.365508+00:00
5,"Застройщики Москвы, Подмосковья и Новой Москвы: полная база компаний ...",https://novostroy-m.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.372373+00:00
6,"База новостроек Москвы и Подмосковья от застройщиков, застройщики ...",https://zastroev.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.378723+00:00
7,Все новостройки Москвы на карте с ценами от застройщиков ТУТ! Купить ...,https://msk-novostroyki.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.384766+00:00
8,Каталог недвижимости Москвы и Подмосковья: 3 543 жилых комплекса и ...,https://novostroy.ru,застройщики,Москва,,[],,crawled,2026-05-27T07:56:45.390980+00:00
9,Официальный сайт ПИК,https://pik.ru,застройщики,Москва,,"[""angular"", ""react""]",,crawled,2026-05-27T07:56:45.396851+00:00
10,Новостройки Москвы от застройщика | Сервис умного подбора квартир в ...,https://novostroikino.ru,застройщики,Москва,bitrix,"[""angular"", ""xmlhttprequest"", ""jquery""]",,crawled,2026-05-27T07:56:45.402972+00:00
11,Новостройки в Москве квартиры от застройщиков | Агентство недвижимости ...,https://vaychulis.com,застройщики,Москва,bitrix,"[""angular"", ""jquery""]",,crawled,2026-05-27T07:56:49.303972+00:00
12,Главная - Честнокофъ,https://chestnokof.moscow,застройщики,Москва,,[],,crawled,2026-05-27T07:56:49.329905+00:00
13,Строительство домов под ключ в Москве и Подмосковье - Проекты и цены,https://doma97.ru,застройщики,Москва,,"[""angular"", ""jquery""]",cloudflare,crawled,2026-05-27T07:56:49.336542+00:00
14,Колл-центр для застройщиков и агентств недвижимости,https://livoice.ru,застройщики,Москва,joomla,"[""angular"", ""xmlhttprequest"", ""recaptcha"", ""jquery""]",recaptcha,crawled,2026-05-27T07:56:49.343173+00:00
15,Агентство недвижимости НДВ: купить недвижимость в Москве и Подмосковье ...,https://ndv.ru,застройщики,Москва,,"[""angular""]",,crawled,2026-05-27T07:56:49.349261+00:00
16,Застройщики в Москве и Московской области,https://msk.uzhedoma.ru,застройщики,Москва,tilda,"[""angular"", ""vue""]",,crawled,2026-05-27T07:56:49.355426+00:00
17,Приемка квартир в новостройках Москвы | Помощь в приемке квартир от ...,https://msk.cityprof.ru,застройщики,Москва,wordpress,"[""angular"", ""jquery"", ""wpcf7""]",cloudflare,crawled,2026-05-27T07:56:49.361324+00:00
18,Новостройки Москва,https://centr-novostroy.ru,застройщики,Москва,wordpress,"[""react"", ""recaptcha"", ""jquery"", ""angular"", ""hcaptcha"", ""wpcf7""]","recaptcha,cloudflare",crawled,2026-05-27T07:56:49.367474+00:00
